Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C12763;C74456;;Anatomical Location;PARANASAL SINUS;PARANASAL SINUS;Paranasal Sinus;An air-filled cavity adjacent to the nasal cavity lined by a mucous membrane and located in the bones of the skull. There are four paranasal sinuses on each side of the face: ethmoid, frontal, maxillary, and sphenoid sinus. (NCI);Paranasal Sinus;
C12767;C74456;;Anatomical Location;PELVIS;PELVIS;Pelvis;The bony, basin-shaped structure formed by the hipbones and the base of the backbone supporting the lower limbs in humans. (NCI);Pelvis;
C12768;C74456;;Anatomical Location;PERIPHERAL NERVE;PERIPHERAL NERVE;Peripheral Nerve;Any nerve outside the brain or spinal cord that connects with peripheral receptors or effectors. (NCI);Peripheral Nerve;
C12770;C74456;;Anatomical Location;PERITONEUM;PERITONEUM;Peritoneum;The tissue that lines the wall of the abdominal cavity, intestine, and mesentery. It consists of the parietal peritoneum that covers the inside of the abdominal wall and the visceral peritoneum that covers the surface of the intestine and mesentery. (NCI);Peritoneum;
C12782;C74456;;Anatomical Location;RIB;RIB;Rib;Any one of the paired bones, 12 on either side, extending from the thoracic vertebrae toward the median line on the ventral aspect of the trunk. The long curved bones which form the rib cage. Generally, ribs 1 to 7 are connected to the sternum' by their costal cartilages and are called true ribs, whereas ribs 8 to 12 are termed false ribs. (NCI);Rib;
C12783;C74456;;Anatomical Location;SCAPULA;SCAPULA;Scapula;The flat triangle-shaped bone that connects the humerus with the clavicle in the back of the shoulder. (NCI);Scapula;
C12785;C74456;;Anatomical Location;SCROTUM;SCROTUM;Scrotum;The musculocutaneous pouch that encloses the testicles. (NCI);Scrotum;
C12786;C74456;;Anatomical Location;LUNATE BONE;LUNATE BONE;Lunate Bone;The bone in the proximal row of carpal bones that lies between the scaphoid and triquetral bones. (NCI);Lunate Bone;
C12789;C74456;;Anatomical Location;SKULL;SKULL;Skull;The bones that form the head, made up of the bones of the braincase and face. (NCI);Skull;
C12793;C74456;;Anatomical Location;STERNUM;STERNUM;Sternum;The long, flat bone connecting with the cartilages of the first seven ribs and the clavicle. (NCI);Sternum;
C12797;C74456;;Anatomical Location;TEMPORAL BONE;TEMPORAL BONE;Temporal Bone;A large irregular bone situated at the base and side of the skull, connected with the mandible via the temporomandibular joint. The temporal bone consists of the squamous, tympanic and petrous parts. The petrous portion of the temporal bone contains the vestibulocochlear organ of the inner ear. (NCI);Temporal Bone;
C12798;C74456;;Anatomical Location;THORACIC VERTEBRA;THORACIC VERTEBRA;Thoracic Vertebra;One of 12 vertebrae in the human vertebral column. The thoracic vertebrae are situated between the seventh cervical vertebra down to the first lumbar vertebra. (NCI);Thoracic Vertebra;
C12799;C74456;;Anatomical Location;THORAX;THORAX;Thorax;The division of the body lying between the neck and the abdomen. (NCI);Thorax;
C12800;C74456;;Anatomical Location;TIBIA;TIBIA;Tibia;A bone located between the femur and the tarsus, being part of the lower leg. (NCI);Tibia;
C12802;C74456;;Anatomical Location;TONSIL;TONSIL;Tonsil;The two organs situated in the throat on either side of the narrow passage from the mouth to the pharynx. They are composed of lymphoid tissues. (NCI);Tonsil;
C12808;C74456;;Anatomical Location;TROCHLEAR NERVE;TROCHLEAR NERVE;Trochlear Nerve;The cranial nerve that controls the superior oblique muscle of the eye. (NCI);Trochlear Nerve;
C12811;C74456;;Anatomical Location;UVEA;UVEA;Uvea;The pigmented layer of the eyeball between the tough, white outer coat of the eye and the retina. (NCI);Uvea;
C12814;C74456;;Anatomical Location;VEIN;VEIN;Vein;A blood vessel that carries blood towards the heart.;Vein;
C12817;C74456;;Anatomical Location;VENA CAVA;VENA CAVA;Vena Cava;A large vein which returns blood from the head, neck and extremities to the heart. (NCI);Vena Cava;
C12822;C74456;;Anatomical Location;VOCAL CORD;VOCAL CORD;Vocal Cord;A pair of small bands of muscle that stretch from the thyroid cartilage in front to the arytenoid cartilage in back of the larynx. The vocal cords help prevent food entering the lungs and produce sound through vibration. (NCI);Vocal Cord;
C12838;C74456;;Anatomical Location;RADIAL ARTERY;RADIAL ARTERY;Radial Artery;The branch of the brachial artery that passes down the forearm. (NCI);Radial Artery;
C12840;C74456;;Anatomical Location;PLEURAL CAVITY;PLEURAL CAVITY;Pleural Cavity;The cavity lined by the pleura, located in the thorax and contains heart and lungs. (NCI);Pleural Cavity;
C12843;C74456;;Anatomical Location;CORONARY ARTERY;CORONARY ARTERY;Coronary Artery;A principal artery that originates in the aorta. It supplies blood to the muscular tissue of the heart. (NCI);Coronary Artery;
C12853;C74456;;Anatomical Location;SACRAL VERTEBRA;SACRAL VERTEBRA;Sacral Vertebra;One of the usually five fused vertebrae forming the triangular bone just below the lumbar vertebrae. (NCI);Sacral Vertebra;
C12854;C74456;;Anatomical Location;SCAPHOID BONE;SCAPHOID BONE;Scaphoid Bone;A nut-shaped bone of the wrist located in the radial site of the hand. It is one of the eight carpal bones. (NCI);Scaphoid Bone;
C12855;C74456;;Anatomical Location;PISIFORM BONE;PISIFORM BONE;Pisiform Bone;The medial bone of the proximal row of carpal bones. (NCI);Pisiform Bone;
C12856;C74456;;Anatomical Location;CAPITATE BONE;CAPITATE BONE;Capitate Bone;The largest of eight carpal bones, located in the center of the hand. (NCI);Capitate Bone;
C12857;C74456;;Anatomical Location;TRAPEZIAL BONE;TRAPEZIAL BONE;Trapezial Bone;A carpal bone on the thumb side of the hand that articulates with the 1st and 2nd metacarpals. (NCI);Trapezial Bone;
C12858;C74456;;Anatomical Location;TRIANGULAR BONE;TRIANGULAR BONE;Triangular Bone;A carpal bone located between the lunate and pisiform bones. (NCI);Triangular Bone;
C12859;C74456;;Anatomical Location;TRAPEZOID BONE;TRAPEZOID BONE;Trapezoid Bone;A carpal bone located between the trapezium and capitate bones. (NCI);Trapezoid Bone;
C12860;C74456;;Anatomical Location;HAMATE BONE;HAMATE BONE;Hamate Bone;The medial bone in the distal row of carpal bones. (NCI);Hamate Bone;
C12903;C74456;;Anatomical Location;SUPRACLAVICULAR LYMPH NODE;SUPRACLAVICULAR LYMPH NODE;Supraclavicular Lymph Node;A lymph node which is located above the clavicle. (NCI);Supraclavicular Lymph Node;
C12904;C74456;;Anatomical Location;AXILLARY LYMPH NODE;AXILLARY LYMPH NODE;Axillary Lymph Node;One of approximately 20-30 lymph nodes in chain formation that traverse the concavity of the underarm to the clavicle. (NCI);Axillary Lymph Node;
C12971;C74456;;Anatomical Location;BREAST;BREAST;Breast;One of two hemispheric projections of variable size situated in the subcutaneous layer over the pectoralis major muscle on either side of the chest. (NCI);Breast;
C12998;C74456;;Anatomical Location;VERTEBRAL COLUMN;VERTEBRAL COLUMN;Vertebral Column;A series of bones, muscles, tendons, and other tissues reaching from the base of the skull to the tailbone. The vertebral column forms the axis of the skeleton and encloses as well as protects the spinal cord and the fluid surrounding the spinal cord. (NCI);Vertebral Column;
C13005;C74456;;Anatomical Location;PERICARDIUM;PERICARDIUM;Pericardium;A conical membranous sac filled with serous fluid in which the heart as well as the roots of the aorta and other large blood vessels are contained. (NCI);Pericardium;
C13041;C74456;;Anatomical Location;BODY;BODY;Body;The entire physical structure of an organism. It is composed of anatomic systems, regions, cavities, and spaces. (NCI);Body;
C13044;C74456;;Anatomical Location;JOINT;JOINT;Joint;The connection point between two bones or skeletal elements. The joint may be fixed or movable. (NCI);Joint;
C13046;C74456;;Anatomical Location;LIGAMENT;LIGAMENT;Ligament;Band of fibrous tissue connecting bone to bone or cartilage to bone thereby supporting or strengthening a joint. (NCI);Ligament;
C13050;C74456;;Anatomical Location;SKELETAL MUSCLE TISSUE;SKELETAL MUSCLE TISSUE;Skeletal Muscle Tissue;Striated muscles that are under voluntary control of the organism. They are connected at either or both ends to a bone and are utilized for locomotion and other movements. (NCI);Skeletal Muscle Tissue;
C13062;C74456;;Anatomical Location;BACK;BACK;Back;The dorsal area between the base of the neck and the sacrum. (NCI);Back;
C13063;C74456;;Anatomical Location;NECK;NECK;Neck;The region that connects the head to the rest of the body. (NCI);Neck;
C13071;C74456;;Anatomical Location;FACE;FACE;Face;The anterior portion of the head extending from the forehead to the chin and ear to ear. The facial structures contain the eyes, nose and mouth, cheeks and jaws. (NCI);Face;
C13166;C74456;;Anatomical Location;MUCOSA;MUCOSA;Mucosa;Mucous membrane. (NCI);Mucosa;
C13307;C74456;;Anatomical Location;GASTRIC;GASTRIC;Gastric;Relating to the stomach. (NCI);Gastric;
C13308;C74456;;Anatomical Location;HEPATIC;HEPATIC;Hepatic;Pertaining to, affecting, or associated with the liver. (NCI);Hepatic;
C15609;C74456;;Anatomical Location;ANASTOMOSIS;ANASTOMOSIS;Anastomosis;A natural or surgically-induced connection between tubular structures in the body. (NCI);Anastomosis;
C25203;C74456;;Anatomical Location;SHOULDER;SHOULDER;Shoulder;The region of the body between the neck and the upper arm. (NCI);Shoulder;
C25389;C74456;;Anatomical Location;CHEST;CHEST;Chest;The anterior side of the thorax from the neck to the abdomen. The shape of the chest is often regarded as potential insight into a disease process, as in the case of barrel chest and respiratory dysfunction. (NCI);Chest;
C25724;C74456;;Anatomical Location;HILAR;HILAR;Hilar;Refers to the area associated with the hilum. (NCI);Hilar;
C26465;C74456;;Anatomical Location;CORPUS LUTEUM;CORPUS LUTEUM;Corpus Luteum;A group of cells that remain of the Graafian follicle following ovulation. This structure is composed of endocrine tissue and produces progesterone. This is needed to prepare the uterine lining for implantation by the fertilized egg. (NCI);Corpus Luteum;
C26470;C74456;;Anatomical Location;MAXILLA;MAXILLA;Maxilla;The upper jawbone in vertebrates: it is fused to the cranium. (NCI);Maxilla;
C32042;C74456;;Anatomical Location;ACETABULUM;ACETABULUM;Acetabulum;Two cup shaped areas, one each on the lateral side of the lower pelvis that house the head of the femur to form the ball and socket joint of the hip. (NCI);Acetabulum;
C32047;C74456;;Anatomical Location;ACROMIOCLAVICULAR JOINT;ACROMIOCLAVICULAR JOINT;Acromioclavicular Joint;The junction of the upper distal end of the scapula to the distal edge of the collarbone, also known as the acromion and the clavicle. (NCI);Acromioclavicular Joint;
C32048;C74456;;Anatomical Location;ACROMION;ACROMION;Acromion;The upper distal process of the scapula. (NCI);Acromion;
C32078;C74456;;Anatomical Location;ANKLE JOINT;ANKLE JOINT;Ankle Joint;A gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus. (NCI);Ankle Joint;
C32123;C74456;;Anatomical Location;AORTIC ARCH;AORTIC ARCH;Aortic Arch;The curved section of the aorta between the ascending and the descending tracts. The brachiocephalic, left common carotid and left subclavian arteries branch from the aorta at this section. (NCI);Aortic Arch;
C32141;C74456;;Anatomical Location;ARM;ARM;Arm;The portion of the upper extremity between the shoulder and the elbow. For clinical purposes this term is also used to refer to the whole superior limb. (NCI);Arm;
C32197;C74456;;Anatomical Location;BASILIC VEIN;BASILIC VEIN;Basilic Vein;One of the moderately large superficial veins of the forearm that transports blood from the hand and the medial aspect of the forearm to the axillary vein. (NCI);Basilic Vein;
C32239;C74456;;Anatomical Location;C1 VERTEBRA;C1 VERTEBRA;C1 Vertebra;The first of the seven cervical vertebrae. (NCI);C1 Vertebra;
C32240;C74456;;Anatomical Location;C2 VERTEBRA;C2 VERTEBRA;C2 Vertebra;The second of the seven cervical vertebrae. (NCI);C2 Vertebra;
C32241;C74456;;Anatomical Location;C3 VERTEBRA;C3 VERTEBRA;C3 Vertebra;The third of the seven cervical vertebrae. (NCI);C3 Vertebra;
C32242;C74456;;Anatomical Location;C4 VERTEBRA;C4 VERTEBRA;C4 Vertebra;The fourth of the seven cervical vertebrae. (NCI);C4 Vertebra;
C32243;C74456;;Anatomical Location;C5 VERTEBRA;C5 VERTEBRA;C5 Vertebra;The fifth of the seven cervical vertebrae. (NCI);C5 Vertebra;
C32244;C74456;;Anatomical Location;C6 VERTEBRA;C6 VERTEBRA;C6 Vertebra;The sixth of the seven cervical vertebrae. (NCI);C6 Vertebra;
C32245;C74456;;Anatomical Location;C7 VERTEBRA;C7 VERTEBRA;C7 Vertebra;The seventh of the seven cervical vertebrae. (NCI);C7 Vertebra;
C32258;C74456;;Anatomical Location;CANINE TOOTH;CANINE TOOTH;Canine Tooth;A single-cusped (pointed) and usually single-rooted tooth located between the incisors and premolars. (NCI);Canine Tooth;
C32286;C74456;;Anatomical Location;CEPHALIC VEIN;CEPHALIC VEIN;Cephalic Vein;One of five superficial veins of the upper extremity, beginning at the radial aspect of the wrist area, wrapping around the forearm and emptying into the axillary vein. (NCI);Cephalic Vein;
C32298;C74456;;Anatomical Location;CERVICAL LYMPH NODE;CERVICAL LYMPH NODE;Cervical Lymph Node;Any of the lymph nodes located in the neck. (NCI);Cervical Lymph Node;
C32334;C74456;;Anatomical Location;COCCYGEAL VERTEBRA;COCCYGEAL VERTEBRA;Coccygeal Vertebra;Four vertebral segments positioned at the base of the spine that are fused. (NCI);Coccygeal Vertebra;
C32391;C74456;;Anatomical Location;COSTAL CARTILAGE;COSTAL CARTILAGE;Costal Cartilage;The cartilage positioned between the anterior end of the rib and the sternum. Its elasticity allows the ribcage to expand while breathing. (NCI);Costal Cartilage;
C32414;C74456;;Anatomical Location;CUBOID BONE;CUBOID BONE;Cuboid Bone;A bone on the lateral side of the tarsus between the calcaneus and the fourth and fifth metatarsal bones. (NCI);Cuboid Bone;
C32478;C74456;;Anatomical Location;DORSALIS PEDIS ARTERY;DORSALIS PEDIS ARTERY;Dorsalis Pedis Artery;An artery of the dorsal surface of the foot, originating from the anterior tibial artery of the lower leg. The following arterial branches originate from the dorsalis pedis artery: the arcuate artery of the foot and deep plantar artery. (NCI);Dorsalis Pedis Artery;
C32497;C74456;;Anatomical Location;ELBOW JOINT;ELBOW JOINT;Elbow Joint;A type of hinge joint located between the forearm and upper arm. (NCI);Elbow Joint;
C32514;C74456;;Anatomical Location;ENDOMETRIAL CAVITY;ENDOMETRIAL CAVITY;Endometrial Cavity;A space inside the uterus lined by a layer of mucus membranes called the endometrium. (NCI);Endometrial Cavity;
C32577;C74456;;Anatomical Location;FACET JOINT;FACET JOINT;Facet Joint;A synovial joint between two adjacent vertebrae. The facet joint links the articular process of one vertebra and the inferior articular process of the adjacent vertebra. (NCI);Facet Joint;
C32608;C74456;;Anatomical Location;FINGER;FINGER;Finger;Any of the digits of the hand. (NCI);Finger;
C32609;C74456;;Anatomical Location;FINGERNAIL;FINGERNAIL;Fingernail;The nail at the end of a finger. (NCI);Fingernail;
C32622;C74456;;Anatomical Location;FOOT;FOOT;Foot;The structure found below the ankle joint required for locomotion. (NCI);Foot;
C32628;C74456;;Anatomical Location;FOREARM;FOREARM;Forearm;The structure on the upper limb, between the elbow and the wrist. (NCI);Forearm;
C32668;C74456;;Anatomical Location;GASTROESOPHAGEAL JUNCTION;GASTROESOPHAGEAL JUNCTION;Gastroesophageal Junction;The anatomical location where the esophagus joins to the stomach. (NCI);Gastroesophageal Junction;
C32677;C74456;;Anatomical Location;GINGIVA;GINGIVA;Gingiva;The soft tissue surrounding the neck of individual teeth as well as covering the alveolar bone. The tissue is fibrous and continuous with the periodontal ligament and mucosal covering. (NCI);Gingiva;
C32682;C74456;;Anatomical Location;GLENOID FOSSA;GLENOID FOSSA;Glenoid Fossa;The trough in the head of the scapula that receives the head of the humerus to form the shoulder joint. (NCI);Glenoid Fossa;
C32698;C74456;;Anatomical Location;GREAT TROCHANTER;GREAT TROCHANTER;Great Trochanter;A large, irregular, quadrilateral area of bone found at the neck of the femur. (NCI);Great Trochanter;
C32705;C74456;;Anatomical Location;HAIR;HAIR;Hair;The filamentous outgrowth of the epidermis. (NCI);Hair;
C32712;C74456;;Anatomical Location;HAND;HAND;Hand;The distal portion of the upper extremity. It consists of the carpus, metacarpus, and digits. (NCI);Hand;
C32720;C74456;;Anatomical Location;HEAD OF THE HUMERUS;HEAD OF THE HUMERUS;Head of the Humerus;The upper rounded part of the humerus that fits into the glenoid cavity of the scapula. (NCI);Head of the Humerus;
C32742;C74456;;Anatomical Location;HIP JOINT;HIP JOINT;Hip Joint;A ball-and-socket joint between the head of the femur and the acetabulum. (NCI);Hip Joint;
C32752;C74456;;Anatomical Location;HYOID BONE;HYOID BONE;Hyoid Bone;A U-shaped bone supporting the tongue. This bone is located at the base of the tongue and is suspended from the tips of the styloid processes of the temporal bones by the stylohyoid ligaments. (NCI);Hyoid Bone;
C32761;C74456;;Anatomical Location;ILIAC LYMPH NODE;ILIAC LYMPH NODE;Iliac Lymph Node;One of the three lymph nodes of the pelvis: the superior gluteal, interior gluteal or sacral. (NCI);Iliac Lymph Node;
C32765;C74456;;Anatomical Location;ILIUM;ILIUM;Ilium;The broad, dorsal, upper, and widest of the three principal bones composing either half of the pelvis. (NCI);Ilium;
C32769;C74456;;Anatomical Location;INCISOR;INCISOR;Incisor;One of the teeth in front of the canines in either jaw designed for cutting or gnawing. (NCI);Incisor;
C32770;C74456;;Anatomical Location;INCUS;INCUS;Incus;One of the three bones comprising the middle ear. This anvil-shaped bone is positioned between the malleus and the stapes. (NCI);Incus;
C32801;C74456;;Anatomical Location;INGUINAL LYMPH NODE;INGUINAL LYMPH NODE;Inguinal Lymph Node;A superficial or deep lymph node located in the inguinal area. (NCI);Inguinal Lymph Node;
C32868;C74456;;Anatomical Location;INTERPHALANGEAL JOINT OF THE HAND;INTERPHALANGEAL JOINT OF THE HAND;Interphalangeal Joint of the Hand;The hinge synovial joints between the phalanges of the fingers. (NCI);Interphalangeal Joint of the Hand;
C32884;C74456;;Anatomical Location;ISCHIUM;ISCHIUM;Ischium;The most posterior and ventral bone making up the pelvis. (NCI);Ischium;
C32888;C74456;;Anatomical Location;JAW JOINT;JAW JOINT;Jaw Joint;The joint between the head of the lower mandible and the temporal bone. (NCI);Jaw Joint;
C32898;C74456;;Anatomical Location;KNEE JOINT;KNEE JOINT;Knee Joint;A joint connecting the lower part of the femur with the upper part of the tibia. The lower part of the femur and the upper part of the tibia are attached to each other by ligaments. Other structures of the knee joint include the upper part of the fibula, located below and parallel to the tibia, and the patella which moves as the knee bends. (NCI);Knee Joint;
C32899;C74456;;Anatomical Location;L1 VERTEBRA;L1 VERTEBRA;L1 Vertebra;The first lumbar vertebra counting from the top down. (NCI);L1 Vertebra;
C32900;C74456;;Anatomical Location;L2 VERTEBRA;L2 VERTEBRA;L2 Vertebra;The second lumbar vertebra counting from the top down. (NCI);L2 Vertebra;
C32901;C74456;;Anatomical Location;L3 VERTEBRA;L3 VERTEBRA;L3 Vertebra;The third lumbar vertebra counting from the top down. (NCI);L3 Vertebra;
C32902;C74456;;Anatomical Location;L4 VERTEBRA;L4 VERTEBRA;L4 Vertebra;The fourth lumbar vertebra counting from the top down. (NCI);L4 Vertebra;
C32903;C74456;;Anatomical Location;L5 VERTEBRA;L5 VERTEBRA;L5 Vertebra;The fifth lumbar vertebra counting from the top down. (NCI);L5 Vertebra;
C32906;C74456;;Anatomical Location;LACRIMAL BONE;LACRIMAL BONE;Lacrimal Bone;A small rectangular thin plate forming part of the medial orbit wall. It is located posterior to the frontal process of the maxilla and articulates with the inferior nasal concha, ethmoid, frontal, and maxillary bones. (NCI);Lacrimal Bone;
C32974;C74456;;Anatomical Location;LEG;LEG;Leg;One of the two lower extremities in humans used for locomotion and support. (NCI);Leg;
C32996;C74456;;Anatomical Location;LIVER FISSURE;LIVER FISSURE;Liver Fissure;The transverse fissure on the visceral surface of the liver where the portal vein and hepatic artery enter and the hepatic ducts leave. (NCI);Liver Fissure;
C33031;C74456;;Anatomical Location;LYMPH NODE HILUM;LYMPH NODE HILUM;Lymph Node Hilum;The concave side of the lymph node. (NCI);Lymph Node Hilum;
C33051;C74456;;Anatomical Location;MALLEUS;MALLEUS;Malleus;A hammer-shaped bone, part of three interconnected small bones located in the middle ear. It is attached to the inner surface of the tympanic membrane and its function is to transmit sound vibrations. (NCI);Malleus;
C33073;C74456;;Anatomical Location;MEDIASTINAL LYMPH NODE;MEDIASTINAL LYMPH NODE;Mediastinal Lymph Node;"A lymph node located in the mediastinum. Mediastinal lymph nodes are arranged in three groups, one on the lateral, another on the medial, and a third on the anterior aspect of the vessels; the third group is, however, sometimes absent. (NCI)";Mediastinal Lymph Node;
C33108;C74456;;Anatomical Location;METATARSOPHALANGEAL JOINT;METATARSOPHALANGEAL JOINT;Metatarsophalangeal Joint;A spheroid joint located between the heads of the metatarsal bone and the base of the proximal phalanx of the toe. (NCI);Metatarsophalangeal Joint;
C33156;C74456;;Anatomical Location;NAIL;NAIL;Nail;The cutaneous plate on the dorsal surface of the distal end of a finger or toe. (NCI);Nail;
C33157;C74456;;Anatomical Location;NASAL BONE;NASAL BONE;Nasal Bone;One of two small oblong bones placed side by side at the middle and upper part of the face. (NCI);Nasal Bone;
C33160;C74456;;Anatomical Location;NASAL SEPTUM;NASAL SEPTUM;Nasal Septum;The thin wall between the two nasal cavities. (NCI);Nasal Septum;
C33162;C74456;;Anatomical Location;NAVICULAR BONE;NAVICULAR BONE;Navicular Bone;An oval-shaped bone of the tarsus found on the medial side of the foot. (NCI);Navicular Bone;
C33178;C74456;;Anatomical Location;NOSTRIL;NOSTRIL;Nostril;One of the two channels of the nose, from the point where they divide to the external opening. (NCI);Nostril;
C33200;C74456;;Anatomical Location;OLECRANON;OLECRANON;Olecranon;A prominence at the proximal end of the ulna. It forms the tip of the elbow. (NCI);Olecranon;
C33205;C74456;;Anatomical Location;OLFACTORY MUCOSA;OLFACTORY MUCOSA;Olfactory Mucosa;The part of the nasal mucosa composed of neuroepithelial tissue and mucus-producing Bowman's glands. The mucus moistens the epithelium and helps dissolve odor-containing gases. (NCI);Olfactory Mucosa;
C33278;C74456;;Anatomical Location;PAROTID GLAND LYMPH NODE;PAROTID GLAND LYMPH NODE;Parotid Gland Lymph Node;A lymph node located close to, on, or within the parotid gland. (NCI);Parotid Gland Lymph Node;
C33282;C74456;;Anatomical Location;PATELLA;PATELLA;Patella;A small flat triangular bone in front of the knee that articulates with the femur and protects the knee joint. (NCI);Patella;
C33287;C74456;;Anatomical Location;PELVIC BONE;PELVIC BONE;Pelvic Bone;The caudal portion of the trunk, bounded anteriorly and laterally by the two hip bones incorporating the socket portion of the hip joint for each leg. Posteriorly it is bounded by the sacrum and coccyx. (NCI);Pelvic Bone;
C33301;C74456;;Anatomical Location;PERINEUM;PERINEUM;Perineum;The area located between the anus and vulva in females, and anus and scrotum in males. (NCI);Perineum;
C33318;C74456;;Anatomical Location;PHARYNGEAL TONSIL;PHARYNGEAL TONSIL;Pharyngeal Tonsil;A fold of lymphatic tissue covered by ciliated epithelium at the very back of the nose, in the roof of the nasopharynx. (NCI);Pharyngeal Tonsil;
C33343;C74456;;Anatomical Location;PORTAL VEIN;PORTAL VEIN;Portal Vein;A short thick trunk vein that transports blood containing the absorbed products of digestion from the intestine directly to the liver. (NCI);Portal Vein;
C33433;C74456;;Anatomical Location;PYLORIC SPHINCTER;PYLORIC SPHINCTER;Pyloric Sphincter;The muscular structure at the distal portion of the stomach, opening into the duodenum. (NCI);Pyloric Sphincter;
C33507;C74456;;Anatomical Location;SACROILIAC JOINT;SACROILIAC JOINT;Sacroiliac Joint;The joint located between the sacrum and the ilium. (NCI);Sacroiliac Joint;
C33508;C74456;;Anatomical Location;SACRUM;SACRUM;Sacrum;The triangular bone, made up of 5 fused bones of the spine, located in the lower area of the spine between the fifth lumbar vertebra and the coccyx. (NCI);Sacrum;
C33548;C74456;;Anatomical Location;SHOULDER JOINT;SHOULDER JOINT;Shoulder Joint;A ball-and-socket joint at the upper end of the humerus, located at the junction of humerus and scapula. (NCI);Shoulder Joint;
C33556;C74456;;Anatomical Location;SINUS;SINUS;Sinus;A recess, cavity, or channel. (NCI);Sinus;
C33615;C74456;;Anatomical Location;STERNOCLAVICULAR JOINT;STERNOCLAVICULAR JOINT;Sternoclavicular Joint;The synovial juncture between the medial end of the clavicle and the anterior segment of the sternum. (NCI);Sternoclavicular Joint;
C33718;C74456;;Anatomical Location;SYNOVIAL FLUID;SYNOVIAL FLUID;Synovial Fluid;A viscid fluid secreted by the synovial membrane, serving as a lubricant. (NCI);Synovial Fluid;
C33720;C74456;;Anatomical Location;T1 VERTEBRA;T1 VERTEBRA;T1 Vertebra;The first thoracic vertebra counting from the top down. (NCI);T1 Vertebra;
C33721;C74456;;Anatomical Location;T10 VERTEBRA;T10 VERTEBRA;T10 Vertebra;The tenth thoracic vertebra counting from the top down. (NCI);T10 Vertebra;
C33722;C74456;;Anatomical Location;T11 VERTEBRA;T11 VERTEBRA;T11 Vertebra;The eleventh thoracic vertebra counting from the top down. (NCI);T11 Vertebra;
C33723;C74456;;Anatomical Location;T12 VERTEBRA;T12 VERTEBRA;T12 Vertebra;The twelfth thoracic vertebra counting from the top down. (NCI);T12 Vertebra;
C33724;C74456;;Anatomical Location;T2 VERTEBRA;T2 VERTEBRA;T2 Vertebra;The second thoracic vertebra counting from the top down. (NCI);T2 Vertebra;
C33725;C74456;;Anatomical Location;T3 VERTEBRA;T3 VERTEBRA;T3 Vertebra;The third thoracic vertebra counting from the top down. (NCI);T3 Vertebra;
C33726;C74456;;Anatomical Location;T4 VERTEBRA;T4 VERTEBRA;T4 Vertebra;The fourth thoracic vertebra counting from the top down. (NCI);T4 Vertebra;
C33727;C74456;;Anatomical Location;T5 VERTEBRA;T5 VERTEBRA;T5 Vertebra;The fifth thoracic vertebra counting from the top down. (NCI);T5 Vertebra;
C33728;C74456;;Anatomical Location;T6 VERTEBRA;T6 VERTEBRA;T6 Vertebra;The sixth thoracic vertebra counting from the top down. (NCI);T6 Vertebra;
C33729;C74456;;Anatomical Location;T7 VERTEBRA;T7 VERTEBRA;T7 Vertebra;The seventh thoracic vertebra counting from the top down. (NCI);T7 Vertebra;
C33730;C74456;;Anatomical Location;T8 VERTEBRA;T8 VERTEBRA;T8 Vertebra;The eighth thoracic vertebra counting from the top down. (NCI);T8 Vertebra;
C33731;C74456;;Anatomical Location;T9 VERTEBRA;T9 VERTEBRA;T9 Vertebra;The ninth thoracic vertebra counting from the top down. (NCI);T9 Vertebra;
C33737;C74456;;Anatomical Location;TARSUS BONE;TARSUS BONE;Tarsus Bone;Any one of the seven bones forming the instep of the foot. (NCI);Tarsus Bone;
C33763;C74456;;Anatomical Location;THIGH;THIGH;Thigh;A part of the lower limb, located between hip and knee. (NCI);Thigh;
C33788;C74456;;Anatomical Location;TOE;TOE;Toe;One of the terminal digits of the foot. (NCI);Toe;
C33790;C74456;;Anatomical Location;TOENAIL;TOENAIL;Toenail;A thin, horny translucent plate covering the end of each toe. (NCI);Toenail;
C33809;C74456;;Anatomical Location;TRAPEZIUS MUSCLE;TRAPEZIUS MUSCLE;Trapezius Muscle;One of a pair of flat, large, triangular muscles that extend from the external occipital protuberance and the medial third of the superior nuchal line of the occipital bone to the middle of the back. The trapezius muscle is involved in moving the shoulder and arm. (NCI);Trapezius Muscle;
C33814;C74456;;Anatomical Location;TROCHANTER;TROCHANTER;Trochanter;A bony protrusion on the femoral bone to which muscles are attached. (NCI);Trochanter;
C33816;C74456;;Anatomical Location;TRUNK;TRUNK;Trunk;The body excluding the head and neck and limbs. (NCI);Trunk;
C33820;C74456;;Anatomical Location;TUNICA INTIMA;TUNICA INTIMA;Tunica Intima;The inner most layer of the blood vessel wall. The consistency of the intima will vary depending on the type of blood vessel, but will always have an endothelial layer with a basal lamina. It may contain collagen and elastic fibers. (NCI);Tunica Intima;
C33888;C74456;;Anatomical Location;VOMER;VOMER;Vomer;A thin, paired or unpaired, trapezoidal bone of the skull located in the floor of the nasal cavity. The vomer forms the posterior and inferior parts of the nasal septum. (NCI);Vomer;
C33894;C74456;;Anatomical Location;WRIST JOINT;WRIST JOINT;Wrist Joint;A joint between the distal end of the radius and the proximal row of carpal bones. (NCI);Wrist Joint;
